resultId,raceId,driverId,teamId,grid,position,points,status,fastestLapTime,gapToWinnerSeconds
10087,202305,7,4,5,14,0,Finished,1:29.0,52.5
10088,202305,8,4,8,11,0,Finished,1:29.2,43.0
10089,202305,9,5,10,19,0,Finished,1:28.8,57.8
10090,202305,10,5,13,,0,Electrical,,
10091,202305,11,6,17,10,1,Finished,1:28.4,42.0
10092,202305,12,6,15,3,15,Finished,1:27.4,20.2
10093,202305,13,7,6,15,0,Finished,1:29.1,53.5
10094,202305,14,7,12,4,12,Finished,1:27.9,20.6
10095,202305,15,8,14,13,0,Finished,1:28.3,49.1
10096,202305,16,8,18,16,0,Finished,1:28.2,53.6
10097,202305,17,9,20,17,0,Finished,1:29.2,54.9
10098,202305,18,9,19,12,0,Finished,1:29.0,47.1
10099,202305,19,10,16,8,4,Finished,1:28.4,35.7
10100,202305,20,10,11,6,8,Finished,1:28.8,26.8
10101,202306,1,1,1,2,18,Finished,1:24.3,1.2
10102,202306,2,1,2,3,15,Finished,1:24.5,6.4
10103,202306,4,2,6,5,10,Finished,1:23.7,12.0
10104,202306,21,2,4,15,0,Finished,1:24.6,38.6
10105,202306,5,3,5,14,0,Finished,1:24.6,36.1
10106,202306,6,3,3,9,2,Finished,1:24.7,21.0
10107,202306,7,4,7,17,0,Finished,1:25.9,51.0
10108,202306,8,4,9,6,8,Finished,1:24.3,16.0
10109,202306,9,5,17,4,12,Finished,1:23.6,11.2
10110,202306,10,5,15,11,0,Finished,1:24.4,30.8
10111,202306,11,6,16,13,0,Finished,1:25.8,34.5
10112,202306,12,6,8,20,0,Finished,1:26.2,66.7
10113,202306,13,7,11,7,6,Finished,,19.6
10114,202306,14,7,10,1,25,Finished,1:23.9,0.0
10115,202306,15,8,14,12,0,Finished,,31.9
10116,202306,16,8,18,10,1,Finished,,22.5
10117,202306,17,9,20,19,0,Finished,1:26.3,59.6
10118,202306,18,9,19,16,0,Finished,1:25.8,44.6
10119,202306,19,10,12,8,4,Finished,1:24.3,20.0
10120,202306,20,10,13,18,0,Finished,1:25.6,57.9
10121,202307,1,1,1,3,15,Finished,1:24.8,17.4
10122,202307,2,1,2,1,25,Finished,1:25.0,0.0
10123,202307,4,2,3,2,18,Finished,1:25.4,11.3
10124,202307,21,2,4,9,2,Finished,1:26.1,45.1
10125,202307,5,3,5,16,0,Finished,1:26.6,58.9
10126,202307,6,3,13,20,0,Finished,1:26.5,69.9
10127,202307,7,4,6,6,8,Finished,1:25.6,42.9
10128,202307,8,4,7,10,1,Finished,1:25.7,46.7
10129,202307,9,5,12,11,0,Finished,1:26.9,47.6
10130,202307,10,5,14,18,0,Finished,1:26.1,66.6
10131,202307,11,6,10,12,0,Finished,1:26.2,49.3
10132,202307,12,6,8,8,4,Finished,1:26.7,43.1
10133,202307,13,7,11,5,10,Finished,1:25.7,33.1
10134,202307,14,7,9,7,6,Finished,1:26.8,43.0
10135,202307,15,8,18,13,0,Finished,1:26.1,50.6
10136,202307,16,8,17,17,0,Finished,1:26.2,59.7
10137,202307,17,9,19,19,0,Finished,1:26.2,69.4
10138,202307,18,9,20,15,0,Finished,,56.5
10139,202307,19,10,16,14,0,Finished,1:25.7,54.4
10140,202307,20,10,15,4,12,Finished,1:25.5,31.6
10141,202308,1,1,1,1,25,Finished,1:25.4,0.0
10142,202308,2,1,2,8,4,Finished,1:26.4,46.4
10143,202308,4,2,5,,0,Engine,,
10144,202308,21,2,8,2,18,Finished,1:24.8,22.4
10145,202308,5,3,4,6,8,Finished,,39.3
10146,202308,6,3,3,3,15,Finished,1:26.4,26.0
10147,202308,7,4,7,5,10,Finished,1:25.8,37.0
10148,202308,8,4,9,13,0,Finished,1:26.3,56.4
10149,202308,9,5,14,12,0,Finished,1:26.0,52.6
10150,202308,10,5,17,14,0,Finished,1:26.3,65.2
10151,202308,11,6,12,10,1,Finished,1:25.8,49.7
10152,202308,12,6,13,17,0,Finished,1:27.5,81.5
10153,202308,13,7,6,,0,Collision,1:27.2,
10154,202308,14,7,10,16,0,Finished,1:27.2,73.2
10155,202308,15,8,19,11,0,Finished,1:26.1,51.1
10156,202308,16,8,15,18,0,Finished,1:27.8,84.1
10157,202308,17,9,20,4,12,Finished,1:26.2,35.0
10158,202308,18,9,18,9,2,Finished,1:26.3,49.6
10159,202308,19,10,16,15,0,Finished,1:26.2,69.8
10160,202308,20,10,11,7,6,Finished,1:25.9,45.6
10161,202309,1,1,1,,0,Gearbox,,
10162,202309,2,1,2,1,25,Finished,1:33.0,0.0
10163,202309,4,2,4,11,0,Finished,1:34.2,65.7
10164,202309,21,2,5,2,18,Finished,1:33.6,34.7
10165,202309,5,3,3,9,2,Finished,1:35.0,60.7
10166,202309,6,3,6,13,0,Finished,1:35.0,67.3
10167,202309,7,4,8,17,0,Finished,1:34.6,82.2
10168,202309,8,4,10,4,12,Finished,,44.3
10169,202309,9,5,7,5,10,Finished,,51.9
10170,202309,10,5,12,8,4,Finished,1:34.7,60.7
10171,202309,11,6,13,10,1,Finished,1:35.2,61.2
10172,202309,12,6,14,6,8,Finished,1:33.9,52.8
10173,202309,13,7,11,12,0,Finished,1:34.1,66.2
10174,202309,14,7,15,15,0,Finished,,74.2
10175,202309,15,8,17,7,6,Finished,1:33.6,57.0
10176,202309,16,8,16,16,0,Finished,1:34.9,76.1
10177,202309,17,9,20,14,0,Finished,1:34.4,68.6
10178,202309,18,9,19,18,0,Finished,1:35.6,84.2
10179,202309,19,10,18,,0,Brakes,,
10180,202309,20,10,9,3,15,Finished,1:33.7,42.8
10181,202310,1,1,1,1,25,Finished,1:27.1,0.0
10182,202310,2,1,2,3,15,Finished,1:27.4,50.3
10183,202310,4,2,7,11,0,Finished,1:28.0,72.5
10184,202310,21,2,5,8,4,Finished,1:27.5,61.0
10185,202310,5,3,4,12,0,Finished,1:28.5,72.5
10186,202310,6,3,3,6,8,Finished,1:27.7,55.6
10187,202310,7,4,14,18,0,Finished,1:28.4,91.4
10188,202310,8,4,6,2,18,Finished,1:28.3,44.5
10189,202310,9,5,13,17,0,Finished,1:28.3,91.0
10190,202310,10,5,17,9,2,Finished,1:28.0,63.9
10191,202310,11,6,12,5,10,Finished,1:27.7,53.1
10192,202310,12,6,18,20,0,Finished,1:29.8,109.8
10193,202310,13,7,10,7,6,Finished,1:28.0,56.8
10194,202310,14,7,9,4,12,Finished,1:28.4,51.6
10195,202310,15,8,15,10,1,Finished,1:28.2,69.1
10196,202310,16,8,11,14,0,Finished,1:28.7,84.6
10197,202310,17,9,19,16,0,Finished,1:29.3,88.6
10198,202310,18,9,20,13,0,Finished,1:28.6,80.6
10199,202310,19,10,8,15,0,Finished,1:29.1,87.4
10200,202310,20,10,16,19,0,Finished,1:29.4,108.0
10201,202311,1,1,1,1,25,Finished,1:30.4,0.0
10202,202311,2,1,2,2,18,Finished,1:30.4,29.2
10203,202311,4,2,5,16,0,Finished,1:32.9,69.6
10204,202311,21,2,9,4,12,Finished,1:30.8,40.8
10205,202311,5,3,3,13,0,Finished,1:31.6,65.4
10206,202311,6,3,6,3,15,Finished,1:32.0,35.9
10207,202311,7,4,11,7,6,Finished,1:32.0,60.0
10208,202311,8,4,4,10,1,Finished,1:32.1,62.7
10209,202311,9,5,13,6,8,Finished,1:31.7,57.9
10210,202311,10,5,12,5,10,Finished,1:31.2,46.8
10211,202311,11,6,8,15,0,Finished,1:31.9,66.5
10212,202311,12,6,16,11,0,Finished,1:32.4,62.8
10213,202311,13,7,7,12,0,Finished,1:32.8,64.7
10214,202311,14,7,15,19,0,Finished,1:32.1,80.5
10215,202311,15,8,17,18,0,Finished,1:33.0,77.8
10216,202311,16,8,20,20,0,Finished,1:32.9,84.4
10217,202311,17,9,18,9,2,Finished,1:31.4,61.3
10218,202311,18,9,19,17,0,Finished,1:32.7,70.3
10219,202311,19,10,14,8,4,Finished,1:31.9,60.8
10220,202311,20,10,10,14,0,Finished,1:31.7,66.0
10221,202312,1,1,2,1,25,Finished,1:30.8,0.0
10222,202312,2,1,1,2,18,Finished,1:30.8,23.3
10223,202312,4,2,8,10,1,Finished,1:31.7,74.0
10224,202312,21,2,5,11,0,Finished,1:32.5,74.4
10225,202312,5,3,3,3,15,Finished,1:30.9,50.0
10226,202312,6,3,4,4,12,Finished,1:31.3,66.4
10227,202312,7,4,7,14,0,Finished,1:33.2,82.5
10228,202312,8,4,6,9,2,Finished,1:31.8,72.3
10229,202312,9,5,11,8,4,Finished,1:32.2,69.4
10230,202312,10,5,13,6,8,Finished,1:31.8,68.7
10231,202312,11,6,16,,0,Brakes,,
10232,202312,12,6,10,17,0,Finished,1:32.4,99.9
10233,202312,13,7,9,16,0,Finished,1:32.2,91.1
10234,202312,14,7,12,5,10,Finished,1:31.2,68.1
10235,202312,15,8,18,,0,Collision,,
10236,202312,16,8,20,13,0,Finished,1:32.4,80.6
10237,202312,17,9,17,12,0,Finished,1:31.7,76.0
10238,202312,18,9,19,18,0,Finished,1:32.7,105.3
10239,202312,19,10,15,7,6,Finished,,69.1
10240,202312,20,10,14,15,0,Finished,1:32.5,84.8
10241,202313,1,1,1,3,15,Finished,1:24.2,15.8
10242,202313,2,1,2,2,18,Finished,1:23.6,3.0
10243,202313,4,2,3,1,25,Finished,1:24.1,0.0
10244,202313,21,2,10,17,0,Finished,,49.3
10245,202313,5,3,9,12,0,Finished,1:24.7,35.0
10246,202313,6,3,4,8,4,Finished,1:24.3,30.6
10247,202313,7,4,8,6,8,Finished,1:24.3,28.8
10248,202313,8,4,6,4,12,Finished,1:23.5,24.8
10249,202313,9,5,12,19,0,Finished,1:24.9,57.6
10250,202313,10,5,13,10,1,Finished,1:24.5,33.3
10251,202313,11,6,16,13,0,Finished,1:25.1,41.8
10252,202313,12,6,14,5,10,Finished,1:24.3,26.1
10253,202313,13,7,7,7,6,Finished,1:24.7,29.1
10254,202313,14,7,5,14,0,Finished,1:25.1,44.9
10255,202313,15,8,18,15,0,Finished,1:25.4,46.1
10256,202313,16,8,15,,0,Gearbox,1:24.1,
10257,202313,17,9,19,16,0,Finished,,48.7
10258,202313,18,9,20,11,0,Finished,1:24.4,33.9
10259,202313,19,10,17,18,0,Finished,1:24.9,53.6
10260,202313,20,10,11,9,2,Finished,,32.5
10261,202314,1,1,1,2,18,Finished,1:28.4,41.6
10262,202314,2,1,2,1,25,Finished,1:28.5,0.0
10263,202314,4,2,3,13,0,Finished,1:30.0,90.8
10264,202314,21,2,8,3,15,Finished,1:28.4,42.5
10265,202314,5,3,5,18,0,Finished,1:29.9,101.3
10266,202314,6,3,4,,0,Gearbox,,
10267,202314,7,4,13,14,0,Finished,1:31.1,95.8
10268,202314,8,4,12,10,1,Finished,1:30.5,78.9
10269,202314,9,5,14,5,10,Finished,1:29.7,64.6
10270,202314,10,5,6,,0,Suspension,,
10271,202314,11,6,10,4,12,Finished,1:28.7,63.0
10272,202314,12,6,17,8,4,Finished,,75.5
10273,202314,13,7,11,15,0,Finished,1:30.1,96.7
10274,202314,14,7,9,7,6,Finished,1:29.6,71.1
10275,202314,15,8,16,11,0,Finished,1:29.5,80.8
10276,202314,16,8,18,12,0,Finished,,83.2
10277,202314,17,9,19,17,0,Finished,1:30.7,101.1
10278,202314,18,9,20,16,0,Finished,1:31.1,99.8
10279,202314,19,10,7,6,8,Finished,1:29.5,66.3
10280,202314,20,10,15,9,2,Finished,1:29.5,76.9
10281,202315,1,1,1,1,25,Finished,1:32.5,0.0
10282,202315,2,1,2,2,18,Finished,,14.9
10283,202315,4,2,3,5,10,Finished,1:33.8,29.7
10284,202315,21,2,6,3,15,Finished,1:33.8,25.5
10285,202315,5,3,4,8,4,Finished,1:33.9,36.0
10286,202315,6,3,5,,0,Suspension,1:32.6,
10287,202315,7,4,7,10,1,Finished,1:33.6,39.3
10288,202315,8,4,14,4,12,Finished,1:33.0,27.8
10289,202315,9,5,10,,0,Collision,1:33.1,
10290,202315,10,5,9,12,0,Finished,1:33.4,44.2
10291,202315,11,6,16,6,8,Finished,1:34.0,34.1
10292,202315,12,6,12,7,6,Finished,1:33.3,35.5
10293,202315,13,7,15,15,0,Finished,1:34.6,48.9
10294,202315,14,7,11,16,0,Finished,1:33.5,55.0
10295,202315,15,8,17,14,0,Finished,,48.8
10296,202315,16,8,19,11,0,Finished,1:33.9,43.0
10297,202315,17,9,20,13,0,Finished,1:33.8,47.1
10298,202315,18,9,18,18,0,Finished,1:35.3,77.6
10299,202315,19,10,13,9,2,Finished,1:33.3,37.6
10300,202315,20,10,8,17,0,Finished,1:34.9,67.0
10301,202316,1,1,1,1,25,Finished,1:29.9,0.0
10302,202316,2,1,2,,0,Suspension,,
10303,202316,4,2,3,10,1,Finished,1:32.0,57.8
10304,202316,21,2,5,9,2,Finished,1:31.3,53.7
10305,202316,5,3,6,7,6,Finished,1:31.8,45.0
10306,202316,6,3,4,12,0,Finished,1:31.2,60.3
10307,202316,7,4,7,6,8,Finished,1:30.7,44.5
10308,202316,8,4,10,3,15,Finished,1:30.7,40.6
10309,202316,9,5,9,,0,Collision,1:31.7,
10310,202316,10,5,13,11,0,Finished,1:32.1,58.0
10311,202316,11,6,18,8,4,Finished,1:31.2,47.5
10312,202316,12,6,11,4,12,Finished,1:31.0,42.5
10313,202316,13,7,16,2,18,Finished,1:31.6,29.4
10314,202316,14,7,12,14,0,Finished,1:32.1,62.6
10315,202316,15,8,14,16,0,Finished,1:32.2,63.1
10316,202316,16,8,17,15,0,Finished,1:32.5,62.7
10317,202316,17,9,20,13,0,Finished,1:32.1,62.3
10318,202316,18,9,19,17,0,Finished,1:32.4,78.4
10319,202316,19,10,8,5,10,Finished,1:32.1,42.9
10320,202316,20,10,15,,0,Suspension,,
10321,202317,1,1,1,1,25,Finished,1:30.0,0.0
10322,202317,2,1,2,2,18,Finished,1:30.8,8.5
10323,202317,4,2,3,5,10,Finished,1:31.3,31.2
10324,202317,21,2,8,3,15,Finished,1:31.6,17.7
10325,202317,5,3,5,6,8,Finished,1:31.5,41.0
10326,202317,6,3,6,7,6,Finished,1:32.2,41.5
10327,202317,7,4,7,14,0,Finished,1:32.6,52.5
10328,202317,8,4,10,12,0,Finished,1:32.1,51.8
10329,202317,9,5,14,17,0,Finished,1:31.6,60.7
10330,202317,10,5,12,4,12,Finished,1:31.2,30.1
10331,202317,11,6,16,16,0,Finished,1:32.7,58.1
10332,202317,12,6,11,15,0,Finished,1:32.5,55.8
10333,202317,13,7,17,10,1,Finished,1:31.6,49.9
10334,202317,14,7,4,9,2,Finished,1:31.1,48.5
10335,202317,15,8,15,18,0,Finished,1:32.4,62.7
10336,202317,16,8,18,,0,Collision,,
10337,202317,17,9,19,19,0,Finished,1:33.0,73.3
10338,202317,18,9,20,11,0,Finished,1:32.3,51.7
10339,202317,19,10,13,8,4,Finished,1:31.3,47.8
10340,202317,20,10,9,13,0,Finished,1:32.0,51.9
10341,202318,1,1,1,1,25,Finished,1:29.1,0.0
10342,202318,2,1,2,3,15,Finished,1:30.8,22.5
10343,202318,4,2,7,4,12,Finished,1:29.9,26.2
10344,202318,21,2,13,2,18,Finished,1:30.8,14.0
10345,202318,5,3,5,8,4,Finished,1:30.3,44.8
10346,202318,6,3,4,9,2,Finished,1:31.1,44.9
10347,202318,7,4,3,17,0,Finished,1:31.2,57.8
10348,202318,8,4,6,,0,Engine,,
10349,202318,9,5,8,12,0,Finished,1:31.3,49.1
10350,202318,10,5,9,14,0,Finished,1:30.5,50.6
10351,202318,11,6,17,6,8,Finished,1:31.1,34.9
10352,202318,12,6,19,5,10,Finished,1:31.1,31.8
10353,202318,13,7,16,13,0,Finished,1:31.6,50.1
10354,202318,14,7,12,10,1,Finished,1:31.1,45.9
10355,202318,15,8,11,19,0,Finished,1:32.6,81.2
10356,202318,16,8,14,18,0,Finished,,61.9
10357,202318,17,9,15,16,0,Finished,1:30.8,56.7
10358,202318,18,9,20,11,0,Finished,1:31.7,46.0
10359,202318,19,10,10,7,6,Finished,1:30.4,39.0
10360,202318,20,10,18,15,0,Finished,1:30.7,55.9
10361,202319,1,1,1,2,18,Finished,1:23.4,26.1
10362,202319,2,1,2,1,25,Finished,1:23.4,0.0
10363,202319,4,2,5,3,15,Finished,1:24.9,37.9
10364,202319,21,2,4,5,10,Finished,1:24.2,41.7
10365,202319,5,3,6,12,0,Finished,1:24.8,60.8
10366,202319,6,3,9,7,6,Finished,1:24.7,49.6
10367,202319,7,4,8,8,4,Finished,1:24.3,54.7
10368,202319,8,4,3,6,8,Finished,1:24.0,46.9
10369,202319,9,5,10,11,0,Finished,,58.5
10370,202319,10,5,12,4,12,Finished,1:23.8,41.7
10371,202319,11,6,15,17,0,Finished,1:24.7,68.8
10372,202319,12,6,16,10,1,Finished,1:24.6,56.8
10373,202319,13,7,7,13,0,Finished,1:25.5,61.1
10374,202319,14,7,14,,0,Hydraulics,1:24.1,
10375,202319,15,8,17,16,0,Finished,1:25.2,68.0
10376,202319,16,8,20,9,2,Finished,1:24.1,54.9
10377,202319,17,9,19,19,0,Finished,1:25.8,73.8
10378,202319,18,9,18,14,0,Finished,1:25.0,61.6
10379,202319,19,10,11,15,0,Finished,1:25.6,65.1
10380,202319,20,10,13,18,0,Finished,1:25.0,72.7
10381,202320,1,1,1,1,25,Finished,1:30.8,0.0
10382,202320,2,1,2,7,6,Finished,1:31.6,40.6
10383,202320,4,2,3,9,2,Finished,1:32.7,47.2
10384,202320,21,2,9,13,0,Finished,1:31.7,59.1
10385,202320,5,3,4,6,8,Finished,1:31.6,37.3
10386,202320,6,3,6,5,10,Finished,1:31.9,37.2
10387,202320,7,4,8,,0,Suspension,,
10388,202320,8,4,7,16,0,Finished,1:32.8,79.6
10389,202320,9,5,11,8,4,Finished,1:31.6,43.1
10390,202320,10,5,12,3,15,Finished,1:31.9,32.2
10391,202320,11,6,18,18,0,Finished,1:33.7,97.0
10392,202320,12,6,13,2,18,Finished,1:30.7,29.5
10393,202320,13,7,16,4,12,Finished,1:31.6,36.2
10394,202320,14,7,5,14,0,Finished,1:31.9,59.4
10395,202320,15,8,17,,0,Collision,,
10396,202320,16,8,15,17,0,Finished,1:33.6,86.0
10397,202320,17,9,20,11,0,Finished,1:32.8,56.0
10398,202320,18,9,19,15,0,Finished,1:32.2,69.0
10399,202320,19,10,14,12,0,Finished,1:32.2,57.4
10400,202320,20,10,10,10,1,Finished,1:31.7,52.0
10401,202321,1,1,1,2,18,Finished,1:21.2,15.8
10402,202321,2,1,2,1,25,Finished,1:20.9,0.0
10403,202321,4,2,7,,0,Suspension,,
10404,202321,21,2,12,5,10,Finished,1:21.5,20.4
10405,202321,5,3,5,8,4,Finished,,26.9
10406,202321,6,3,3,17,0,Finished,1:22.4,52.3
10407,202321,7,4,8,7,6,Finished,1:21.6,23.4
10408,202321,8,4,9,10,1,Finished,1:22.7,41.5
10409,202321,9,5,11,18,0,Finished,,54.4
10410,202321,10,5,10,14,0,Finished,1:22.6,49.2
10411,202321,11,6,6,16,0,Finished,1:22.6,51.5
10412,202321,12,6,15,11,0,Finished,1:21.8,41.9
10413,202321,13,7,13,13,0,Finished,1:22.8,45.3
10414,202321,14,7,4,,0,Suspension,1:22.5,
10415,202321,15,8,17,3,15,Finished,1:21.5,19.3
10416,202321,16,8,20,9,2,Finished,1:22.3,29.7
10417,202321,17,9,16,12,0,Finished,1:22.8,44.0
10418,202321,18,9,18,15,0,Finished,1:22.3,50.5
10419,202321,19,10,14,4,12,Finished,1:21.5,20.3
10420,202321,20,10,19,6,8,Finished,1:22.1,22.5
10421,202322,1,1,1,7,6,Finished,1:29.6,28.6
10422,202322,2,1,2,6,8,Finished,1:29.6,27.4
10423,202322,4,2,3,4,12,Finished,1:29.2,18.3
10424,202322,21,2,4,1,25,Finished,1:28.9,0.0
10425,202322,5,3,7,10,1,Finished,1:30.2,55.8
10426,202322,6,3,5,,0,Electrical,1:30.6,
10427,202322,7,4,11,13,0,Finished,1:30.6,83.5
10428,202322,8,4,8,2,18,Finished,1:28.5,8.1
10429,202322,9,5,10,8,4,Finished,1:28.6,31.6
10430,202322,10,5,6,,0,Electrical,1:30.1,
10431,202322,11,6,16,15,0,Finished,1:31.1,93.2
10432,202322,12,6,18,12,0,Finished,1:29.8,75.5
10433,202322,13,7,12,11,0,Finished,1:29.7,61.6
10434,202322,14,7,14,,0,Gearbox,1:29.7,
10435,202322,15,8,9,14,0,Finished,,90.4
10436,202322,16,8,17,5,10,Finished,1:29.4,24.6
10437,202322,17,9,20,3,15,Finished,1:28.1,16.6
10438,202322,18,9,19,9,2,Finished,1:29.1,50.3
10439,202322,19,10,15,16,0,Finished,1:31.4,94.0
10440,202322,20,10,13,,0,Electrical,1:29.0,
11001,202401,1,1,1,2,18,Finished,,1.9
11002,202401,2,1,2,1,25,Finished,,0.0
11003,202401,4,2,3,6,8,Finished,1:26.0,38.7
11004,202401,3,2,4,3,15,Finished,1:24.6,15.5
11005,202401,5,3,5,10,1,Finished,1:26.3,44.2
11006,202401,6,3,7,4,12,Finished,1:25.3,17.5
11007,202401,7,4,6,,0,Brakes,1:25.0,
11008,202401,8,4,10,14,0,Finished,1:25.3,55.0
11009,202401,9,5,15,18,0,Finished,1:26.1,67.6
11010,202401,23,5,14,7,6,Finished,1:25.7,40.0
11011,202401,11,6,19,11,0,Finished,1:25.9,44.9
11012,202401,12,6,12,16,0,Finished,,55.8
11013,202401,13,7,13,8,4,Finished,1:26.3,40.1
11014,202401,14,7,8,12,0,Finished,1:25.6,50.9
11015,202401,15,8,16,9,2,Finished,1:25.1,42.6
11016,202401,16,8,9,,0,Gearbox,,
11017,202401,17,9,20,17,0,Finished,1:26.5,64.8
11018,202401,18,9,11,5,10,Finished,1:25.9,31.3
11019,202401,19,10,17,13,0,Finished,,54.4
11020,202401,20,10,18,15,0,Finished,1:25.8,55.3
11021,202402,1,1,1,2,18,Finished,1:23.3,2.4
11022,202402,2,1,2,1,25,Finished,1:22.2,0.0
11023,202402,4,2,4,6,8,Finished,1:23.2,9.0
11024,202402,3,2,3,11,0,Finished,1:22.7,20.7
11025,202402,5,3,8,5,10,Finished,1:23.4,6.6
11026,202402,6,3,7,3,15,Finished,,2.5
11027,202402,7,4,5,,0,Gearbox,1:22.5,
11028,202402,8,4,6,9,2,Finished,1:23.0,10.0
11029,202402,9,5,13,14,0,Finished,,29.8
11030,202402,23,5,14,18,0,Finished,1:22.8,39.0
11031,202402,11,6,12,19,0,Finished,1:23.6,39.5
11032,202402,12,6,18,8,4,Finished,1:22.5,9.5
11033,202402,13,7,17,12,0,Finished,1:23.3,24.1
11034,202402,14,7,9,10,1,Finished,1:23.1,13.1
11035,202402,15,8,20,13,0,Finished,1:23.7,27.2
11036,202402,16,8,10,17,0,Finished,1:23.4,37.8
11037,202402,17,9,11,16,0,Finished,1:23.6,37.7
