raceId,season,round,raceName,circuit,country,date,time
202510,2025,10,Al Dhafra Grand Prix,Al Dhafra Circuit,United Arab Emirates,2025-07-04,14:00:00
202511,2025,11,Tafelberg Grand Prix,Tafelberg Circuit,South Africa,2025-07-17,12:00:00
202512,2025,12,Serra Dourada Grand Prix,Autodromo Serra Dourada,Brazil,2025-07-30,17:00:00
202513,2025,13,Baltica Grand Prix,Baltica Ring,Poland,2025-08-12,13:00:00
202514,2025,14,Marina Bay East Grand Prix,Marina East Street Circuit,Singapore,2025-08-25,12:00:00
202515,2025,15,Highlands Grand Prix,Highlands Motor Park,Netherlands,2025-09-07,13:00:00
202516,2025,16,Sierra Nevada Grand Prix,Sierra Nevada Speedway,Mexico,2025-09-20,19:00:00
202517,2025,17,Danube Grand Prix,Danube Ring,Hungary,2025-10-03,13:00:00
202518,2025,18,Fjordland Grand Prix,Fjordland Circuit,Norway,2025-10-16,13:00:00
202519,2025,19,Atlas Grand Prix,Atlas Circuit,Morocco,2025-10-29,13:00:00
202520,2025,20,Emerald Grand Prix,Emerald Park,Ireland,2025-11-11,13:00:00
202521,2025,21,Golden Gate Grand Prix,Golden Gate Street Circuit,United States,2025-11-24,21:00:00
202522,2025,22,Apex City Grand Prix,Apex City Circuit,United Arab Emirates,2025-12-07,13:00:00
